cve,severity,package,installed_version,fixed_version_in_scan,images,image_package_records,assessment_status
CVE-2026-89617,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89633,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89636,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89637,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89638,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89651,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89652,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89656,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89657,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89659,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89660,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89663,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89669,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89674,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89675,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89686,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89688,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89690,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89691,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89694,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89696,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89698,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89700,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89704,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89706,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89708,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89709,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89712,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89736,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-89761,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-9538,HIGH,perl-base,5.40.1-6+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
